"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"55_100_5"	7991864.29463388	7963385.13734415	144909500	1936825.61351183	1935776.34042102	7367575.59	"SD"	"SD"
"55_100_9"	7988597.10141993	7962041.24873718	121109700	1936749.11762548	1935748.57814385	6476668.39	"SD"	"SD"
"60_65_1"	7987354.08676526	7961202.98140984	146889700	1936725.28908915	1935723.27968368	7895007.69	"SD"	"SD"
"60_65_5"	7985870.63120032	7960887.10662738	105946400	1936687.21933571	1935724.65085886	5924518.4	"SD"	"SD"
"60_70_1"	7990232.12666348	7962134.57035896	193401800	1936783.38419259	1935733.6241621	9643134.92	"SD"	"SD"
"60_70_2"	7989242.61636497	7962155.9762097	142829700	1936759.7463708	1935743.85220771	7479478.17	"SD"	"SD"
"60_70_5"	7987344.49596814	7961519.09701129	113841600	1936714.65078435	1935734.76348438	6217716.48	"SD"	"SD"
"60_70_10"	7985791.07896967	7960849.36151205	105259300	1936679.66622283	1935721.95671832	5825189.81	"ED"	"ED"
"60_75_1"	7991979.34950075	7962547.71077759	236128900	1936813.00488998	1935735.1441613	10896573.67	"SD"	"SD"
"60_75_3"	7989752.47995722	7962430.09300582	139302200	1936762.637119	1935748.47103561	7144292.59	"SD"	"SD"
"60_75_5"	7988228.50813633	7961867.65909538	121110000	1936728.45504485	1935739.16478643	6425235.2	"SD"	"SD"
"60_80_1"	7993269.2063885	7962795.13822147	272357000	1936831.72759214	1935735.47997928	11735486.88	"SD"	"SD"
"60_80_2"	7991863.78335848	7963033.81770646	180005900	1936800.78218382	1935753.30484372	8464310.32	"SD"	"SD"
"60_80_4"	7989972.92273725	7962563.68039584	135433600	1936759.0717019	1935749.38653666	6863889.73	"SD"	"SD"
"60_80_5"	7988850.17774296	7962098.1518987	127001200	1936736.7500468	1935741.62292301	6559005.44	"SD"	"SD"
"60_80_10"	7986603.3874415	7961172.60174797	110836700	1936690.49497403	1935725.61260312	5956437.29	"SD"	"SD"
"60_85_1"	7993934.35877318	7962825.42941381	300550500	1936840.1314293	1935734.31953176	12241862.59	"SD"	"SD"
"60_85_5"	7989094.87815387	7962160.79910415	131974500	1936739.56359264	1935742.06425753	6642501.58	"SD"	"SD"
"60_90_1"	7994179.17210284	7962759.66307864	318096800	1936842.68687173	1935732.96527017	12489992.57	"SD"	"SD"
"60_90_2"	7992551.11800213	7963132.70002828	201706400	1936809.00481912	1935753.49524137	8819641.52	"SD"	"SD"
"60_90_3"	7991082.45418793	7962801.05312118	163705900	1936780.10272561	1935751.76191201	7612371.18	"SD"	"SD"
"60_90_5"	7989170.19752124	7962165.91178784	134671200	1936740.28859609	1935742.01506745	6677742.66	"SD"	"SD"
"60_90_6"	7988741.16858602	7962039.79032023	126792900	1936730.97282417	1935740.13750479	6429142.03	"SD"	"SD"
"60_90_10"	7986696.7875108	7961184.73678261	113573200	1936691.39551638	1935725.6232163	5992825.89	"SD"	"SD"
"60_95_1"	7994217.33233594	7962688.40819519	326769300	1936843.03612276	1935732.14820169	12585728.47	"SD"	"SD"
