"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"61_61_1"	7983670.02095406	7959898.00450425	97687100	1936635.64151153	1935704.05030577	5505624.1	"ED"	"ED"
"62_62_1"	7983319.21708243	7959723.55956843	97795400	1936623.24186555	1935698.19952138	5487690.44	"ED"	"ED"
"63_63_1"	7983401.81156454	7959765.14080949	97693000	1936622.49505879	1935698.1321624	5461126.6	"ED"	"ED"
"64_64_1"	7983111.9304843	7959620.36326937	97603700	1936612.75854995	1935693.53267898	5438806.8	"ED"	"ED"
"65_65_1"	7983046.09475609	7959587.60040526	97467200	1936609.3464802	1935692.08373131	5415447.68	"ED"	"ED"
"66_66_1"	7982843.40066736	7959486.8843609	97519100	1936603.57453267	1935689.46679044	5399768.09	"SD"	"SD"
"67_67_1"	7982999.14718767	7959565.81862105	97364000	1936604.60627577	1935690.25857789	5375772	"ED"	"ED"
"68_68_1"	7982741.44430403	7959438.25917923	97410800	1936598.12867726	1935687.29594104	5358794.96	"ED"	"ED"
"69_69_1"	7982319.32280751	7959228.74643097	97477000	1936588.15324594	1935682.56813098	5345132.5	"SD"	"SD"
"70_70_1"	7982440.48683625	7959288.47244534	97458600	1936589.29848946	1935683.29601934	5331289.94	"ED"	"ED"
"71_71_1"	7982411.4475105	7959276.90478247	97332400	1936587.91213219	1935682.8949139	5310826.12	"ED"	"ED"
"72_72_1"	7982187.94174224	7959169.46489834	97014100	1936582.7633509	1935680.62489866	5287586.18	"ED"	"ED"
"73_73_1"	7981849.21029174	7959000.56217309	97198800	1936575.65151455	1935677.24556108	5279251.92	"ED"	"ED"
"74_74_1"	7981734.31022979	7958945.38214211	97006800	1936573.07692671	1935676.17942436	5260877.6	"ED"	"ED"
"75_75_1"	7981511.26329018	7958835.27667231	97043000	1936568.83561186	1935674.22487994	5251797.4	"ED"	"ED"
"76_76_1"	7981486.31827597	7958823.1461652	96989800	1936567.69238658	1935673.8004593	5239524.1	"ED"	"ED"
"77_77_1"	7981402.26981865	7958785.03493654	96637500	1936565.55845187	1935672.93819994	5222931.5	"ED"	"ED"
"78_78_1"	7981364.21984737	7958770.3889509	96191600	1936564.74095359	1935672.75219361	5202837.52	"ED"	"ED"
"79_79_1"	7981136.79244537	7958659.6202499	96207100	1936560.81687429	1935670.95708995	5194166.52	"ED"	"ED"
"80_80_1"	7981114.13422325	7958650.53013884	95870200	1936560.35341032	1935670.86168477	5180670.04	"ED"	"ED"
"81_81_1"	7980952.78435929	7958573.65720686	95847000	1936557.8214835	1935669.77041376	5171018.4	"ED"	"ED"
"82_82_1"	7980912.97205368	7958559.44405406	95593700	1936557.17464463	1935669.63769322	5158470.71	"ED"	"ED"
"83_83_1"	7980805.39966489	7958510.30285966	95252200	1936555.53086378	1935668.9730871	5145940.28	"ED"	"ED"
"84_84_1"	7980713.09283826	7958468.27544635	94973600	1936554.26817229	1935668.47485456	5135649.76	"ED"	"ED"
"85_85_1"	7980544.66134855	7958386.64870149	95221700	1936552.04625282	1935667.46955982	5133362.86	"ED"	"SD"
"86_86_1"	7980539.05918496	7958387.4146197	94847000	1936551.85336275	1935667.47293839	5124075.7	"ED"	"ED"
"87_87_1"	7980431.68540199	7958340.62872821	94559900	1936550.5365057	1935666.97106616	5114300.57	"ED"	"ED"
"88_88_1"	7980401.99663547	7958331.49534495	94116800	1936550.16869675	1935666.90045378	5105086.16	"ED"	"ED"
"89_89_1"	7980364.9812584	7958318.83165642	93749400	1936549.72734368	1935666.79426485	5096592.2	"ED"	"ED"
"90_90_1"	7980303.25196135	7958294.01400789	93218700	1936549.09030699	1935666.5785867	5087411.88	"ED"	"ED"
"91_91_1"	7980267.62352649	7958279.28279046	93076400	1936548.72566286	1935666.45728724	5083359.52	"ED"	"SD"
"92_92_1"	7980264.1944446	7958281.77624951	92706600	1936548.67505261	1935666.50118511	5077089.92	"ED"	"SD"
"93_93_1"	7980240.36096028	7958274.06150736	92427400	1936548.44062506	1935666.44519174	5072521.18	"ED"	"SD"
"94_94_1"	7980220.74677142	7958268.28041292	92201800	1936548.26310078	1935666.4117608	5068754.36	"ED"	"SD"
"95_95_1"	7980206.39673113	7958266.64739278	91736600	1936548.13767775	1935666.41390768	5063145.02	"ED"	"SD"
"96_96_1"	7980198.41825802	7958265.05215622	91576200	1936548.06937674	1935666.41012998	5060801.04	"ED"	"SD"
"97_97_1"	7980194.69622925	7958265.90114184	91355200	1936548.03885918	1935666.424116	5058297.76	"SD"	"SD"
"98_98_1"	7980194.69622925	7958269.88314184	90959000	1936548.03885918	1935666.4616976	5054539.6	"SD"	"SD"
"99_99_1"	7980194.69622925	7958272.82314184	90697000	1936548.03885918	1935666.4876856	5052188	"SD"	"SD"
"100_100_1"	7980194.69622925	7958275.69314184	90400000	1936548.03885918	1935666.5106456	5049812	"ED"	"ED"
"25_50_1"	7998650.45154462	7964440.33479953	385397600	1937450.31808188	1935588.01516495	56818918.5	"SD"	"SD"
"25_50_5"	7992442.65142603	7963687.94774023	153822300	1937116.49618282	1935824.49430502	16932631.34	"SD"	"SD"
"25_55_1"	8002696.67177779	7965892.04191611	438664900	1937581.1439329	1935609.73677556	60960907.69	"SD"	"SD"
"25_55_2"	8000511.12654143	7966552.48229793	264830600	1937468.68254333	1935827.42655907	33733908.36	"SD"	"SD"
"25_55_3"	7998621.88516646	7966191.66961045	207689800	1937374.79028299	1935871.8354115	24729876.4	"SD"	"SD"
"25_55_5"	7995137.62718163	7964919.65261803	162825600	1937198.14736069	1935857.09802206	17617310.73	"SD"	"SD"
"25_55_6"	7994016.20699566	7964477.05552505	151714300	1937139.48781458	1935846.2098683	15834804.4	"SD"	"SD"
"25_55_10"	7991577.51381221	7963492.82893332	129951300	1937039.32936537	1935832.72643479	12333021.59	"SD"	"SD"
"25_60_1"	8007143.6752897	7967560.59167206	489595100	1937704.12146852	1935637.89701937	64082631.69	"SD"	"SD"
"25_60_5"	7997766.55540786	7966120.69573115	171235700	1937266.91134614	1935885.12272228	18131533.08	"SD"	"SD"
"25_60_7"	7994702.67646079	7964819.58625761	150057700	1937136.33271961	1935852.90187831	14978133.35	"SD"	"SD"
"25_65_1"	8010546.86282618	7968725.9144403	538660200	1937782.66688709	1935651.93031976	66440628.28	"SD"	"SD"
"25_65_2"	8007423.39554119	7969457.74479781	311765800	1937643.58354694	1935885.71659258	36322455.39	"SD"	"SD"
"25_65_4"	8001891.88635466	7967840.51920455	200783900	1937404.76198657	1935918.30007899	21444171.83	"SD"	"SD"
"25_65_5"	7999783.21863295	7967018.49934369	179268500	1937310.01601853	1935901.82739527	18516227.4	"SD"	"SD"
"25_65_8"	7995415.13955272	7965181.19980358	147828500	1937137.0163328	1935860.95283951	14180795.69	"SD"	"SD"
"25_65_10"	7994222.41925046	7964702.69565245	137249900	1937095.95177863	1935856.02844502	12703686.93	"SD"	"SD"
"25_70_1"	8013424.9027244	7969657.50338942	585172300	1937840.76199053	1935662.27479818	68188755.51	"SD"	"SD"
"25_70_3"	8006713.61916545	7969695.28360994	251332100	1937563.66676006	1935940.86203114	26894597.29	"SD"	"SD"
"25_70_5"	8001257.08340076	7967650.4897276	187163700	1937337.44746717	1935911.94002079	18809425.48	"SD"	"SD"
"25_70_9"	7995179.61442419	7965070.26423931	146105800	1937113.70415515	1935856.20413398	13500280.96	"SD"	"SD"
"25_75_1"	8015172.12556167	7970070.64380805	627899400	1937870.38268793	1935663.79479737	69442194.26	"SD"	"SD"
"25_75_2"	8011123.1562391	7970818.90314676	354132000	1937712.0415721	1935904.03448466	37748646.54	"ED"	"SD"
"25_75_5"	8002141.09556896	7967999.0518117	194432100	1937351.25172767	1935916.34132284	19016944.2	"SD"	"SD"
"25_75_10"	7995397.94750035	7965193.59677739	144075200	1937114.54812139	1935862.703621	12907319.67	"SD"	"SD"
"25_80_1"	8016461.98244942	7970318.07125193	664127500	1937889.10539009	1935664.13061535	70281107.47	"SD"	"SD"
"25_80_5"	8002762.76517559	7968229.54461501	200323300	1937359.54672962	1935918.79945942	19150714.44	"SD"	"SD"
"25_85_1"	8017127.1348341	7970348.36244427	692321000	1937897.50922724	1935662.97016783	70787483.18	"SD"	"SD"
"25_85_2"	8012641.73524297	7971224.9956487	384707700	1937732.61205603	1935907.17856322	38384621.68	"ED"	"SD"
"25_85_3"	8009211.70707596	7970552.4925652	283926600	1937600.20198025	1935950.11108623	27676625.99	"SD"	"SD"
"25_85_4"	8005558.40246884	7969250.61826164	234311800	1937464.82567701	1935937.17984361	22377505.09	"SD"	"SD"
"25_85_5"	8003007.4655865	7968292.19182047	205296600	1937362.36027546	1935919.24079394	19234210.58	"SD"	"SD"
"25_85_6"	8000938.06624624	7967472.86115033	185713700	1937281.71933462	1935901.14393672	17110788.06	"SD"	"SD"
"25_85_10"	7995713.95285967	7965289.07345705	148903800	1937118.17031334	1935863.49638618	12990371.55	"SD"	"SD"
"25_90_1"	8017371.94816376	7970282.5961091	709867300	1937900.06466968	1935661.61590625	71035613.16	"SD"	"SD"
"25_90_5"	8003082.78495387	7968297.30450415	207993300	1937363.08527891	1935919.19160386	19269451.66	"SD"	"SD"
"25_95_1"	8017410.10839686	7970211.34122565	718539800	1937900.41392071	1935660.79883776	71131349.06	"SD"	"SD"
"25_95_2"	8012857.07355973	7971197.25980708	396962200	1937734.76016399	1935906.528781	38542890.5	"ED"	"SD"
"25_95_5"	8003088.29411274	7968286.95708358	209203500	1937363.13137763	1935919.08636682	19281456.6	"SD"	"SD"
"25_95_7"	7998894.34129871	7966572.17167657	175179400	1937210.55186424	1935880.55506243	15718169.97	"SD"	"SD"
"25_95_10"	7995724.37889999	7965280.20947721	150160500	1937118.25867495	1935863.40244508	13002911.54	"SD"	"SD"
"25_100_1"	8017410.10839686	7970189.49022565	720736900	1937900.41392071	1935660.60653136	71150689.3	"SD"	"SD"
"25_100_3"	8009352.87517564	7970530.00461504	292314800	1937601.59320386	1935949.66632054	27780796.14	"SD"	"SD"
"25_100_5"	8003088.29411274	7968286.95708358	209203500	1937363.13137763	1935919.08636682	19281456.6	"SD"	"SD"
"30_50_1"	7998650.45154462	7965034.11679952	326019400	1937450.31808188	1935747.43228955	40877206.04	"SD"	"SD"
"30_50_2"	7996281.2894669	7965020.05176067	210154800	1937320.47565642	1935856.28660472	23652653.35	"SD"	"SD"
"30_50_4"	7993494.40438703	7964214.47522073	152918200	1937166.45204746	1935866.81618814	15094779.56	"SD"	"SD"
"30_50_5"	7992442.65142603	7963806.29874023	141987200	1937116.49618282	1935859.44335532	13437726.31	"SD"	"SD"
"30_50_10"	7987082.33575507	7961362.84590475	121063700	1936838.35915988	1935755.85367735	10215825.96	"SD"	"SD"
"30_55_1"	8002696.67177779	7966485.82391611	379286700	1937581.1439329	1935769.15390016	45019195.23	"SD"	"SD"
"30_55_5"	7995137.62718163	7965038.00361803	150990500	1937198.14736069	1935892.04707236	14122405.7	"SD"	"SD"
"30_60_1"	8007143.6752897	7968154.37367206	430216900	1937704.12146852	1935797.31414397	48140919.23	"SD"	"SD"
"30_60_2"	8003902.0771567	7968263.39260557	259320100	1937544.96567933	1935930.32561847	27089495.52	"SD"	"SD"
"30_60_3"	8001134.87206937	7967458.7710619	203337000	1937417.03404199	1935937.6864447	20136616.23	"SD"	"SD"
"30_60_5"	7997766.55540786	7966239.04673115	159400600	1937266.91134614	1935920.07177258	14636628.05	"SD"	"SD"
"30_60_6"	7995656.64477037	7965300.4054124	148925200	1937159.64313524	1935880.91644563	13297207	"SD"	"SD"
"30_60_10"	7990428.60852041	7962920.63428742	128846500	1936926.22959705	1935793.25269293	10713335.76	"SD"	"SD"
"30_65_1"	8010546.86282618	7969319.69644031	479282000	1937782.66688709	1935811.34744436	50498915.82	"SD"	"SD"
"30_65_5"	7999783.21863295	7967136.85034369	167433400	1937310.01601853	1935936.77644557	15021322.37	"SD"	"SD"
"30_65_7"	7995851.91260188	7965402.31232816	146929900	1937132.72818963	1935874.42520592	12606513.49	"SD"	"SD"
"30_70_1"	8013424.9027244	7970251.28538942	525794100	1937840.76199053	1935821.69192278	52247043.05	"ED"	"SD"
"30_70_2"	8009222.4199089	7970395.96898167	304280600	1937658.70611101	1935965.29166481	29030753.77	"SD"	"SD"
"30_70_4"	8003362.81594589	7968595.10200016	196186100	1937416.98985981	1935962.79863431	17549595.96	"SD"	"SD"
"30_70_5"	8001257.08340076	7967768.8407276	175328600	1937337.44746717	1935946.88907109	15314520.45	"SD"	"SD"
"30_70_8"	7995727.35357961	7965346.05181702	145305000	1937101.62752114	1935865.02063138	12013814.62	"SD"	"SD"
"30_70_10"	7992387.24013363	7963791.34109403	136194400	1936962.15261913	1935807.44304888	10999063.67	"SD"	"SD"
"30_75_1"	8015172.12556167	7970664.42580805	568521200	1937870.38268793	1935823.21192197	53500481.8	"ED"	"SD"
"30_75_3"	8007008.46166789	7969887.13286116	244752300	1937534.8070975	1935977.83995956	21742006.82	"SD"	"SD"
"30_75_5"	8002141.09556896	7968117.4028117	182597000	1937351.25172767	1935951.29037314	15522039.17	"SD"	"SD"
"30_75_9"	7994086.06453157	7964540.149293	143988800	1937022.24882422	1935830.96622702	11555686.51	"SD"	"SD"
"30_80_1"	8016461.98244942	7970911.85325193	604749300	1937889.10539009	1935823.54773995	54339395.01	"ED"	"SD"
"30_80_2"	8011843.58690242	7971273.81047842	341456800	1937699.74192403	1935974.74430082	30015585.92	"ED"	"SD"
"30_80_5"	8002762.76517559	7968347.89561501	188488200	1937359.54672962	1935953.74850972	15655809.41	"SD"	"SD"
"30_80_10"	7993199.54860546	7964114.58132995	141771800	1936972.98137033	1935811.09893367	11130311.15	"SD"	"SD"
"30_85_1"	8017127.1348341	7970942.14444427	632942800	1937897.50922724	1935822.38729243	54845770.72	"ED"	"SD"
"30_85_5"	8003007.4655865	7968410.54282047	193461500	1937362.36027546	1935954.18984424	15739305.55	"SD"	"SD"
"30_90_1"	8017371.94816376	7970876.3781091	650489100	1937900.06466968	1935821.03303085	55093900.7	"135392.173"	"SD"
"30_90_2"	8012530.92154606	7971372.69280025	363157300	1937707.96455932	1935974.93469847	30370917.12	"ED"	"SD"
"30_90_3"	8008338.43589861	7970258.09297652	269156000	1937552.27270412	1935981.13083597	22210085.41	"SD"	"SD"
"30_90_4"	8005587.06876199	7969372.45240821	222976700	1937448.72715269	1935971.54042205	18147900.63	"SD"	"SD"
"30_90_5"	8003082.78495387	7968415.65550415	196158200	1937363.08527891	1935954.14065416	15774546.63	"SD"	"SD"
"30_90_6"	8000543.84538116	7967350.7917178	177815600	1937246.50129608	1935913.10333065	14187012.24	"SD"	"SD"
"30_90_10"	7993292.94867476	7964126.7163646	144508300	1936973.88191269	1935811.10954685	11166699.75	"SD"	"SD"
"30_95_1"	8017410.10839686	7970805.12322565	659161600	1937900.41392071	1935820.21596236	55189636.6	"274117.731"	"SD"
"30_95_5"	8003088.29411274	7968405.30808358	197368400	1937363.13137763	1935954.03541712	15786551.57	"SD"	"SD"
"30_100_1"	8017410.10839686	7970783.27222565	661358700	1937900.41392071	1935820.02365596	55208976.84	"SD"	"SD"
"30_100_2"	8012561.75105463	7971335.78155453	368120900	1937708.24832683	1935974.53352702	30422691.04	"ED"	"SD"
"30_100_5"	8003088.29411274	7968405.30808358	197368400	1937363.13137763	1935954.03541712	15786551.57	"SD"	"SD"
"30_100_7"	7998579.84124138	7966502.01764791	166526800	1937175.37343941	1935889.62044271	13091589.4	"SD"	"SD"
"30_100_10"	7993292.94867476	7964126.7163646	144508300	1936973.88191269	1935811.10954685	11166699.75	"SD"	"SD"
"35_50_1"	7997281.82327489	7964943.56466466	267253200	1937355.36584328	1935825.24697795	28461807.77	"SD"	"SD"
"35_50_3"	7994508.70669739	7964724.37237591	152212600	1937218.98752133	1935907.78769087	13582384.78	"SD"	"SD"
"35_50_5"	7992442.65142603	7963924.93274023	130123800	1937116.49618282	1935886.89526292	10692535.55	"SD"	"SD"
"35_55_1"	8001328.04350806	7966395.27178125	320520500	1937486.1916943	1935846.96858856	32603796.96	"SD"	"SD"
"35_55_2"	7999605.57144525	7966692.90674984	205920400	1937404.67464105	1935941.14654603	19237813.45	"SD"	"SD"
"35_55_4"	7996073.21925797	7965508.1206562	149999400	1937242.68060021	1935928.13764771	12662805.54	"SD"	"SD"
"35_55_5"	7995137.62718163	7965156.63761803	139127100	1937198.14736069	1935919.49897996	11377214.94	"SD"	"SD"
"35_55_10"	7991577.51381221	7963611.17993332	118116200	1937039.32936537	1935867.67548509	8838116.56	"SD"	"SD"
"35_60_1"	8005775.04701997	7968063.8215372	371450700	1937609.16922992	1935875.12883237	35725520.96	"SD"	"SD"
"35_60_5"	7997766.55540786	7966357.68073115	147537200	1937266.91134614	1935947.52368018	11891437.29	"SD"	"SD"
"35_65_1"	8009178.23455645	7969229.14430544	420515800	1937687.7146485	1935889.16213276	38083517.55	"SD"	"SD"
"35_65_2"	8006517.84044501	7969598.16924972	252855600	1937579.57564466	1935999.43657954	21826360.48	"ED"	"SD"
"35_65_3"	8003552.18199462	7968683.55002453	198069600	1937465.11850789	1935997.35466295	16473658.3	"ED"	"SD"
"35_65_5"	7999783.21863295	7967255.48434369	155570000	1937310.01601853	1935964.22835317	12276131.61	"ED"	"ED"
"35_65_6"	7998058.4075728	7966506.69781362	145463100	1937243.76474559	1935942.2217677	11253882.21	"ED"	"ED"
"35_65_10"	7994222.41925046	7964821.04665245	125414800	1937095.95177863	1935890.97749532	9208781.9	"ED"	"ED"
"35_70_1"	8012056.27445467	7970160.73325455	467027900	1937745.80975194	1935899.50661118	39831644.78	"ED"	"SD"
"35_70_5"	8001257.08340076	7967887.4747276	163465200	1937337.44746717	1935974.34097869	12569329.69	"ED"	"46167.163"
"35_70_7"	7998109.37168947	7966540.22387195	143708700	1937212.43670584	1935932.18954583	10718888.61	"13346.541"	"37828.379"
"35_75_1"	8013803.49729194	7970573.87367319	509755000	1937775.43044933	1935901.02661037	41085083.53	"ED"	"SD"
"35_75_2"	8010217.60114292	7970959.32759867	295221800	1937648.03366982	1936017.75447162	23252551.63	"ED"	"SD"
"35_75_4"	8004451.21679165	7969171.59742304	190650600	1937427.80515243	1935998.71852673	14478701.45	"22972.737"	"89512.102"
"35_75_5"	8002141.09556896	7968236.0368117	170733600	1937351.25172767	1935978.74228074	12776848.41	"15536.693"	"47149.393"
"35_75_8"	7997301.59869838	7966150.77837641	141416600	1937173.66747015	1935917.82974618	10237068.49	"ED"	"ED"
"35_75_10"	7995397.94750035	7965311.94777739	132240100	1937114.54812139	1935897.6526713	9412414.64	"12703.78"	"33649.91"
"35_80_1"	8015093.35417969	7970821.30111706	545983100	1937794.15315149	1935901.36242835	41923996.74	"ED"	"SD"
"35_80_3"	8007724.76890687	7970307.86548065	235551400	1937537.6332059	1936020.18406716	17620788.28	"29202.43"	"151013.868"
"35_80_5"	8002762.76517559	7968466.52961501	176624800	1937359.54672962	1935981.20041732	12910618.65	"16126.607"	"54419.368"
"35_80_9"	7996010.94693502	7965525.74049472	139759800	1937128.38463137	1935899.59671809	9880080.96	"SD"	"SD"
"35_85_1"	8015758.50656437	7970851.5923094	574176600	1937802.55698864	1935900.20198083	42430372.45	"ED"	"SD"
"35_85_2"	8011736.18014679	7971365.42010061	325797500	1937668.60415374	1936020.89855018	23888526.77	"48522.216"	"107219290.781"
"35_85_5"	8003007.4655865	7968529.17682047	181598100	1937362.36027546	1935981.64175184	12994114.79	"ED"	"ED"
"35_85_10"	7995713.95285967	7965407.42445705	137068700	1937118.17031334	1935898.44543648	9495466.52	"ED"	"ED"
"35_90_1"	8016003.31989403	7970785.82597423	591722900	1937805.11243108	1935898.84771925	42678502.43	"ED"	"SD"
"35_90_5"	8003082.78495387	7968534.28950415	184294800	1937363.08527891	1935981.59256176	13029355.87	"ED"	"SD"
"35_95_1"	8016041.48012713	7970714.57109078	600395400	1937805.46168211	1935898.03065076	42774238.33	"ED"	"SD"
"35_95_2"	8011951.51846355	7971337.68425899	338052000	1937670.7522617	1936020.24876796	24046795.59	"73678.243"	"SD"
"35_95_3"	8008331.01755886	7970422.63180665	251875200	1937544.56558774	1936020.84241638	17869900.65	"35934.6"	"378389.406"
"35_95_4"	8005564.65301967	7969493.15353705	209874800	1937441.94626298	1936001.6805268	14826497.07	"24594.647"	"117419.18"
"35_95_5"	8003088.29411274	7968523.94208359	185505000	1937363.13137763	1935981.48732472	13041360.81	"ED"	"SD"
"35_95_6"	8001115.77798222	7967723.09401833	169249000	1937291.86313289	1935958.84980295	11854146.05	"14293.195"	"42582.389"
"35_95_10"	7995724.37889999	7965398.56047721	138325400	1937118.25867495	1935898.35149538	9508006.51	"ED"	"SD"
"35_100_1"	8016041.48012713	7970692.72009078	602592500	1937805.46168211	1935897.83834436	42793578.57	"SD"	"SD"
"35_100_5"	8003088.29411274	7968523.94208359	185505000	1937363.13137763	1935981.48732472	13041360.81	"ED"	"SD"
"40_50_1"	7993646.4404104	7963715.35923241	210153600	1937133.10249125	1935811.99511583	18955496.28	"SD"	"SD"
"40_50_2"	7992342.22872639	7963642.96339041	152950600	1937073.32997396	1935847.51658079	12496148.62	"SD"	"SD"
"40_50_5"	7990050.82281932	7962848.14343687	119260300	1936969.22633039	1935835.2684717	8655692.25	"SD"	"SD"
"40_50_10"	7987082.33575507	7961481.47990475	109200300	1936838.35915988	1935783.30558495	7470635.2	"SD"	"SD"
"40_55_1"	7997692.66064357	7965167.066349	263420900	1937263.92834227	1935833.71672645	23097485.47	"SD"	"SD"
"40_55_3"	7994921.17038628	7964933.95022035	150216000	1937141.96649518	1935889.5537523	11601846.73	"SD"	"SD"
"40_55_5"	7992745.79857491	7964079.84831467	128263600	1937050.87750826	1935867.87218874	9340371.64	"SD"	"SD"
"40_60_1"	8002139.66415548	7966835.61610495	314351100	1937386.90587789	1935861.87697025	26219209.47	"SD"	"SD"
"40_60_2"	7999963.01641618	7966886.30423531	202115900	1937297.81999687	1935921.55559454	15932990.79	"SD"	"SD"
"40_60_4"	7996301.08345086	7965627.77875265	147624800	1937158.3440105	1935904.48435426	10883731.9	"SD"	"SD"
"40_60_5"	7995374.72680114	7965280.89142779	136673700	1937119.64149371	1935895.89688896	9854593.99	"SD"	"SD"
"40_60_10"	7990428.60852041	7963039.26828742	116983100	1936926.22959705	1935820.70460053	7968145	"SD"	"SD"
"40_65_1"	8005542.85169196	7968000.9388732	363416200	1937465.45129647	1935875.91027064	28577206.06	"SD"	"SD"
"40_65_5"	7997391.39002623	7966178.69504033	144706500	1937162.74616609	1935912.60156195	10239288.31	"SD"	"SD"
"40_70_1"	8008420.89159018	7968932.52782231	409928300	1937523.54639991	1935886.25474906	30325333.29	"SD"	"SD"
"40_70_2"	8005283.35916838	7969018.88061141	247076400	1937411.56042855	1935956.52164088	17874249.04	"SD"	"SD"
"40_70_3"	8003012.90438527	7968437.56421985	193858300	1937330.84297225	1935958.58037194	13766567.62	"SD"	"SD"
"40_70_5"	7998865.25479405	7966810.68542424	152601700	1937190.17761473	1935922.71418747	10532486.39	"ED"	"ED"
"40_70_6"	7997240.73091896	7966108.7054867	143131500	1937131.0974684	1935901.62287261	9782044.76	"ED"	"ED"
"40_70_10"	7992387.24013363	7963909.97509403	124331000	1936962.15261913	1935834.89495648	8253872.91	"SD"	"SD"
"40_75_1"	8010168.11442745	7969345.66824094	452655400	1937553.1670973	1935887.77474826	31578772.04	"SD"	"SD"
"40_75_5"	7999749.26696224	7967159.24750834	159870100	1937203.98187523	1935927.11548953	10740005.11	"SD"	"SD"
"40_75_7"	7996356.35796026	7965683.23200735	140863200	1937086.63990323	1935884.16994412	9345280.75	"SD"	"SD"
"40_80_1"	8011457.9713152	7969593.09568482	488883500	1937571.88979946	1935888.11056624	32417685.25	"SD"	"SD"
"40_80_2"	8007904.5261619	7969896.72210817	284252600	1937452.59624157	1935965.97427689	18859081.19	"SD"	"SD"
"40_80_4"	8002395.11582942	7968189.71694193	185162600	1937272.55164891	1935945.55177516	12208450.13	"SD"	"SD"
"40_80_5"	8000370.93656887	7967389.74031165	165761300	1937212.27687719	1935929.5736261	10873775.35	"SD"	"SD"
"40_80_8"	7995330.26616649	7965192.95511046	138403300	1937039.22299925	1935864.54215893	8994917.37	"SD"	"SD"
"40_80_10"	7993199.54860546	7964233.21532995	129908400	1936972.98137033	1935838.55084127	8385120.39	"SD"	"SD"
"40_85_1"	8012123.12369988	7969623.38687716	517077000	1937580.29363661	1935886.95011872	32924060.96	"SD"	"SD"
"40_85_3"	8005510.99229578	7969294.77317511	226452800	1937367.37819244	1935967.82942703	14548596.32	"SD"	"SD"
"40_85_5"	8000615.63697978	7967452.38751711	170734600	1937215.09042303	1935930.01496062	10957271.49	"ED"	"SD"
"40_85_9"	7994628.1523184	7964869.32218642	136384900	1937011.00386324	1935853.89520463	8699126.6	"SD"	"SD"
"40_90_1"	8012367.93702954	7969557.62054199	534623300	1937582.84907905	1935885.59585713	33172190.94	"SD"	"SD"
"40_90_2"	8008591.86080554	7969995.60442999	305953100	1937460.81887686	1935966.16467454	19214412.39	"SD"	"SD"
"40_90_5"	8000690.95634715	7967457.50020079	173431300	1937215.81542648	1935929.96577055	10992512.57	"ED"	"SD"
"40_90_10"	7993292.94867476	7964245.35036459	132644900	1936973.88191269	1935838.56145445	8421508.99	"SD"	"SD"
"40_95_1"	8012406.09726264	7969486.36565854	543295800	1937583.19833008	1935884.77878865	33267926.84	"SD"	"SD"
"40_95_5"	8000696.46550602	7967447.15278023	174641500	1937215.8615252	1935929.86053351	11004517.51	"ED"	"SD"
"40_100_1"	8012406.09726264	7969464.51465854	545492900	1937583.19833008	1935884.58648225	33287267.08	"SD"	"SD"
"40_100_2"	8008622.69031411	7969958.69318427	310916700	1937461.10264437	1935965.76350309	19266186.31	"SD"	"SD"
"40_100_3"	8005652.16039546	7969272.28522494	234841000	1937368.76941606	1935967.38466134	14652766.47	"SD"	"SD"
"40_100_4"	8002809.93602104	7968258.30303774	196979000	1937277.23903954	1935945.88463598	12384009.58	"SD"	"SD"
"40_100_5"	8000696.46550602	7967447.15278023	174641500	1937215.8615252	1935929.86053351	11004517.51	"ED"	"SD"
"40_100_6"	7998960.64394637	7966739.5610004	161044600	1937154.92833823	1935908.96188732	10157519.88	"ED"	"ED"
"40_100_10"	7993292.94867476	7964245.35036459	132644900	1936973.88191269	1935838.56145445	8421508.99	"SD"	"SD"
"45_50_1"	7989618.80751486	7962288.56678465	153680200	1936925.51145436	1935784.80976439	11558157.58	"SD"	"SD"
"45_50_5"	7987957.74282018	7961920.90043731	108470600	1936855.97214923	1935796.00258612	7057644.75	"ED"	"SD"
"45_55_1"	7993665.02774803	7963740.27390123	206947500	1937056.33730538	1935806.531375	15700146.77	"SD"	"SD"
"45_55_2"	7992678.73142459	7963820.04573951	150463500	1937016.86906287	1935837.48447864	10695101.08	"SD"	"SD"
"45_55_5"	7990652.71857578	7963152.60531511	117473900	1936937.6233271	1935828.60630316	7742324.14	"SD"	"SD"
"45_55_10"	7988528.07950032	7962206.00677738	107590800	1936855.64290433	1935798.00692577	6830380.54	"ED"	"ED"
"45_60_1"	7998112.03125994	7965408.82365719	257877700	1937179.314841	1935834.69161881	18821870.77	"SD"	"SD"
"45_60_3"	7995175.11224284	7965071.87114864	147288000	1937073.31635256	1935871.74799019	9992786.41	"SD"	"SD"
"45_60_5"	7993281.64680201	7964353.64842822	125884000	1937006.38731254	1935856.63100338	8256546.49	"SD"	"SD"
"45_65_1"	8001515.21879642	7966574.14642543	306942800	1937257.86025957	1935848.72491919	21179867.36	"SD"	"SD"
"45_65_2"	7999591.00042435	7966725.30823939	197398700	1937191.77006648	1935895.77451215	13283648.11	"SD"	"SD"
